Timestamp  2.0, total num  25: 
2,19,0.9255291151410726
3,9,0.9931069183516318
1,14,0.986715099390802
11,15,0.9556041166930277
1,7,0.9373462533687201
6,11,0.9999780118147115
4,8,0.9106504781158226
7,19,0.932757257835463
15,17,0.9991877686295548
4,14,0.9047835084666778
11,17,0.9429544522157552
11,13,0.9732886245063822
6,15,0.9536291291364658
6,13,0.9747897006430385
1,4,0.9619507645451901
7,8,0.9787209187016911
9,18,0.9991900025196291
16,19,0.9176304368783066

Timestamp  7.0, total num  20: 
 4,7,0.9282665508097229
8,11,0.9830273814955083
7,14,0.9885223410614733
10,12,0.993228819041604
8,13,0.9989892616636212
6,17,0.9927507156416544
14,19,0.9420557258715977
11,13,0.973787417342286
11,15,0.9679753413646198
8,15,0.9976027577291979
0,18,0.9983911730415731
4,17,0.9803502470806909
13,15,0.999704977630476
2,3,0.936349031363451
1,17,0.9303325637832132
5,18,0.9999563692329124
16,19,0.9858083911198784
9,16,0.9065874396527417
0,5,0.9988772778686453
4,6,0.9969529754060351

Timestamp  8.0, total num  22: 
 17,19,0.9617815856956781
6,17,0.9788996466953582
4,11,0.9463188881525703
7,19,0.9979707167380776
4,8,0.9342274621190936
9,16,0.9916837621329928
10,15,0.9037056882115048
0,2,0.9881601631838275
1,14,0.9494000703721156
6,19,0.9974400142701858
4,9,0.9616389430985178
5,11,0.9727607671806121
8,11,0.9993676727691707
5,13,0.9999593502134497
0,3,0.9154543532420243
11,13,0.9748113597995944
4,16,0.9183373552196167
10,12,0.9995369247510874
7,17,0.9423946334802489
6,7,0.9908626754750346
8,13,0.9821251290777953
5,8,0.9803880305721762

Timestamp  9.0, total num  19: 
 2,16,0.9802230050953684
0,4,0.9975143365284656
4,16,0.998493341734073
0,16,0.9998779841617004
3,13,0.9983904677923235
6,7,0.9616606247361814
14,15,0.9995441194007505
11,13,0.9676056875739529
14,19,0.9548948719121211
12,17,0.9022663046810759
9,12,0.9993420007853311
7,18,0.9599691913674251
0,2,0.9770120603567848
3,11,0.9517299300808348
6,17,0.9835590386526595
18,19,0.9698559916824742
2,4,0.9896052965419592
2,11,0.9355185972261111
15,19,0.9454942355327611

Timestamp  10.0, total num  31: 
 18,19,0.974658477681813
10,19,0.9999948463479948
0,5,0.9951987759406882
0,2,0.9448912044160384
0,3,0.9709473923970126
1,14,0.9999974266195465
2,3,0.9957804851459117
2,11,0.9415383703562599
3,13,0.9126666890335373
13,17,0.9562511202929972
0,17,0.9931056687036506
7,15,0.9718278305573763
0,13,0.9839515288548484
2,5,0.9083120114049742
2,17,0.9767536638770954
5,17,0.9768644583055921
0,11,0.9999490519849503
3,6,0.9391140301086244
2,6,0.9666831643393011
1,8,0.9002328009451278
6,9,0.9483682598595726
9,12,0.9790385058272344
5,11,0.9961360389322423
3,11,0.9684824460571133
11,17,0.9918718006245405
11,13,0.9857025716176253
3,5,0.942864995462857
3,17,0.9923039049431042
5,13,0.9966916671645943
16,18,0.9238446245867784
10,18,0.9739352729381537

Timestamp  11.0, total num  20: 
 6,17,0.9895877559416225
1,4,0.9595885862555839
7,9,0.9126068207301906
3,7,0.9660024139457242
7,15,0.9696929958164858
7,8,0.9696128702778971
6,7,0.9358492461306045
10,18,0.9765322459997109
14,16,0.9994758348722766
3,17,0.9706050589076342
2,11,0.9525123717282353
8,15,0.9999999462961183
8,9,0.984895329467101
3,6,0.9951398337061492
16,19,0.9760275493847552
12,13,0.9732726002041249
14,19,0.968469913809898
0,5,0.9915486321048608
9,15,0.9848385296581498
2,12,0.9746789238935945

Timestamp  12.0, total num  27: 
 7,8,0.9642844613011496
11,19,0.9910015466251636
1,15,0.9989325201341405
0,16,0.9794282803752536
13,19,0.9989707700499133
6,18,0.9516594826165302
3,7,0.9573703317310309
9,14,0.9888977793777103
8,15,0.9980288183365268
4,6,0.9146169943080065
11,13,0.9960528427916475
7,15,0.9790061298079391
5,12,0.9764591114479564
2,16,0.9950256934594487
1,14,0.9942755298568916
7,14,0.9364137050320076
8,14,0.9959111023658258
10,17,0.9800386737703438
17,18,0.9519358039567029
1,8,0.9998624086028943
1,9,0.9673597560539604
4,19,0.9062456001730581
14,15,0.9882785700113458
1,7,0.9685454445151611
8,9,0.9714301870008125
0,2,0.994658601693684
9,15,0.954621415947028

Timestamp  13.0, total num  23: 
 8,10,0.9665946335687752
4,12,0.9981959394371474
7,15,0.9771418163079366
11,12,0.9970417990968253
2,18,0.9961523776332724
10,17,0.9962106877010067
2,14,0.9038039480586768
0,18,0.9997775136819396
2,16,0.9273901498892907
12,13,0.976754981372048
0,2,0.9940821788073031
5,6,0.9140572712395043
8,17,0.9406399098487983
1,15,0.9725563262865826
11,13,0.9903414299814143
14,18,0.9378309017925299
0,14,0.9449435390593937
3,7,0.9320571206315078
4,13,0.9621226364673151
1,7,0.9008630078652757
4,11,0.9906282846726118
8,9,0.9221796038947518
1,14,0.952082513212574

Timestamp  14.0, total num  25: 
 8,16,0.9475199746743866
11,12,0.9732175799137422
6,13,0.9146474880001639
0,15,0.967764179595888
12,17,0.9295540526144518
2,7,0.9441651719240692
10,11,0.9707554679489877
14,15,0.9923642114206875
15,18,0.9869009073338415
5,12,0.9080271651134738
4,19,0.9769414613943981
0,1,0.999738300871735
9,16,0.9510454140200159
11,17,0.9894140383289229
5,6,0.9447326419734486
14,18,0.9992636262415984
3,9,0.9983693416626284
0,18,0.9957190101655061
10,17,0.9953181499680205
4,13,0.9396722155703465
1,15,0.9617493098492806
1,18,0.9933439224768669
3,16,0.9671366622583771
1,14,0.988192834579173
0,14,0.9914392396937737

Timestamp  15.0, total num  30: 
 1,4,0.9187934447405035
10,11,0.9210468572043525
1,7,0.9606361600181769
3,11,0.9611397325156902
6,9,0.9920044827904759
5,9,0.9346513315346469
7,14,0.9613885982740628
7,13,0.9395700613508269
3,8,0.9998276792613566
3,17,0.9942927773140787
0,7,0.9879709588462209
13,15,0.9988961030393676
8,10,0.9948252214148025
0,14,0.9072680808804103
13,19,0.9445019337781634
8,11,0.9558493636436506
11,17,0.9851062423284686
5,12,0.9955334427048714
0,1,0.9920409726921238
10,17,0.9742939832453795
13,14,0.9975065901040973
15,19,0.9588906002563585
6,12,0.922800642266111
11,16,0.9471296437104009
14,19,0.9189631330293156
8,17,0.9921409533555108
14,15,0.9930903173997203
7,15,0.9224509419041185
9,12,0.9640454476098285
3,10,0.9927676982275963

Timestamp  16.0, total num  31: 
 8,18,0.973219485335544
14,15,0.9938390767558368
1,6,0.9348339980229463
0,5,0.9199666090337952
0,4,0.983023922790311
0,15,0.9969327864378433
12,15,0.9910582556575187
4,13,0.9983514243102481
11,16,0.9702874367243199
4,12,0.9713357957152312
6,7,0.9962238393947743
6,9,0.9521834607484234
17,18,0.9805002722062351
4,14,0.9764958212709833
2,8,0.9145716458714209
0,13,0.9708722506946136
8,17,0.9994170455581968
3,11,0.9607631677346401
5,14,0.9322974128891796
12,13,0.9560905091830768
4,15,0.9943681813181752
3,10,0.9561441866651464
7,9,0.9751143191496648
2,17,0.9002312853264275
1,7,0.9004747157085208
5,12,0.9402901293638601
13,14,0.9625148213295849
0,12,0.9984610249736204
12,14,0.9997408173754857
0,14,0.9994648052913134
13,15,0.9866458962453345

Timestamp  17.0, total num  32: 
 10,13,0.9999948831505405
7,11,0.9894307545366179
0,14,0.99495481840091
6,7,0.9447787046376681
1,11,0.9422215881191202
1,3,0.9309351238491277
7,16,0.9290750960569498
0,1,0.909327065116762
5,12,0.9295597676030146
3,9,0.9968415323419529
10,18,0.9803861355982737
4,13,0.9679430107015512
1,6,0.9905203272633335
2,8,0.9498388170933333
0,7,0.9729649816798178
3,6,0.9722741960541101
11,14,0.9823742640859255
4,9,0.906690081288985
4,18,0.9008491513700309
9,16,0.9636333927687052
13,18,0.9810116005191303
6,16,0.9989870319572687
0,11,0.9961710349410222
1,7,0.9808386639535844
12,15,0.9866831060653269
2,17,0.901982345941753
4,10,0.968741553268843
5,15,0.9771469459738619
3,16,0.9818120470912584
7,14,0.9448860940909741
6,9,0.9506322802971393
1,16,0.9833356188506776

Timestamp  18.0, total num  28: 
 3,4,0.9796201046449339
10,18,0.9954467433668323
10,16,0.9364722703788441
5,15,0.9987340283159863
7,16,0.9855937752602004
11,18,0.9652649110008337
10,11,0.9359654230343333
8,15,0.9105040352409033
7,14,0.9575676628465143
7,11,0.9858366854911813
1,18,0.9253532158288629
8,19,0.9969146543857431
16,18,0.9656407402699885
11,16,0.9999989598902983
0,17,0.9575771186447102
12,19,0.9921276240870504
15,17,0.976404292198817
9,13,0.9769953753214714
6,10,0.9359270411585267
3,9,0.9589101466494548
1,10,0.9572759962915004
3,13,0.9973548996759479
1,6,0.9977864704445517
5,8,0.9301514525172937
8,12,0.9792368020775387
7,18,0.9077759215551062
5,17,0.9643053391253326
4,13,0.9624293233046086

Timestamp  19.0, total num  38: 
 1,3,0.9987816892247582
11,12,0.9533250517897129
5,11,0.9529471478622861
12,19,0.9980408285985192
5,8,0.9922909313551832
3,17,0.908991955489982
3,19,0.9572937273533126
0,6,0.9854254229316349
15,19,0.9991502440629975
11,19,0.9325657752255937
8,12,0.9921353561502531
8,15,0.9997653479592614
1,19,0.9703945413208825
1,12,0.9533821046955536
8,11,0.908033030686385
10,18,0.9780863723793717
12,15,0.9946139935621892
6,9,0.9398240900791512
3,12,0.9373293217765258
9,17,0.9998769110220336
3,5,0.9377638323622245
3,8,0.9735722590295289
1,15,0.9795247376787388
5,15,0.9947426847812058
3,9,0.9023404389137116
7,14,0.9999976818664791
7,10,0.9457129469628768
6,17,0.9343479275588947
1,8,0.983655998694311
8,19,0.9980229557997337
1,5,0.9537582960793934
14,16,0.9396924573849583
7,16,0.9389538409939235
5,19,0.9981182011018949
11,15,0.9168942053053695
5,12,0.9999992198761414
3,15,0.9683966224839174
10,14,0.9450109586230355

Timestamp  20.0, total num  23: 
 5,19,0.9411562027763195
1,19,0.9655493152472236
3,19,0.9792539373148302
12,15,0.9292469183818152
0,13,0.9834379055023962
1,8,0.9933022448459655
1,12,0.9642329934804845
5,17,0.9339873600631794
3,12,0.9468616154279251
8,12,0.9884007074996991
3,8,0.9847258619534045
4,16,0.9373409067158661
7,18,0.9865673049972543
14,16,0.9107712268937425
2,14,0.9110162220972687
0,6,0.9999807268153937
